    271 ascii with confidence 1.0
      1 ./books/eusebius/he/01.html: windows-1251 with confidence 0.9771993439186858
      1 ./books/eusebius/he/02.html: windows-1251 with confidence 0.983017777920217
      1 ./books/eusebius/he/03.html: windows-1251 with confidence 0.9851725077528181
      1 ./books/eusebius/he/04.html: windows-1251 with confidence 0.9823622437759852
      1 ./books/eusebius/he/05.html: windows-1251 with confidence 0.9880466577076251
      1 ./books/eusebius/he/06.html: windows-1251 with confidence 0.9846674279542995
      1 ./books/eusebius/he/07.html: windows-1251 with confidence 0.9879008976067499
      1 ./books/eusebius/he/08.html: windows-1251 with confidence 0.9992656094692278
      1 ./books/eusebius/he/09.html: windows-1251 with confidence 0.99
      1 ./books/eusebius/he/0.html: windows-1251 with confidence 0.7406175396008198
      1 ./books/eusebius/he/10.html: windows-1251 with confidence 0.996092591984066
      1 ./books/eusebius/he/11.html: windows-1251 with confidence 0.9567867226007808
      1 ./books/eusebius/he/index.html: windows-1251 with confidence 0.9077854985392906
      1 ./books/eusebius/he/nav.html: windows-1251 with confidence 0.8796014114296088
      1 ./books/eusebius/he/title.html: windows-1251 with confidence 0.9102127324926041
      1 ./books/eusebius/vc/01.html: windows-1251 with confidence 0.9953349579733106
      1 ./books/eusebius/vc/02.html: windows-1251 with confidence 0.9999628294790488
      1 ./books/eusebius/vc/03.html: windows-1251 with confidence 0.9946980929741444
      1 ./books/eusebius/vc/04.html: windows-1251 with confidence 0.99
      1 ./books/eusebius/vc/0.html: windows-1251 with confidence 0.9180439331503091
      1 ./books/eusebius/vc/index.html: windows-1251 with confidence 0.8842066544213869
      1 ./books/eusebius/vc/nav.html: windows-1251 with confidence 0.8752752740736962
      1 ./books/eusebius/vc/title.html: windows-1251 with confidence 0.8842066544213869
      1 ./books/feyerab/liber/00.html: MacCyrillic with confidence 0.9971109044919759
      1 ./books/feyerab/liber/01.html: windows-1251 with confidence 0.9931383482149906
      1 ./books/feyerab/liber/02.html: windows-1251 with confidence 0.9914062739770361
      1 ./books/feyerab/liber/03.html: windows-1251 with confidence 0.6833936040848169
      1 ./books/feyerab/liber/0.html: windows-1251 with confidence 0.5841445568366191
      1 ./books/feyerab/liber/index.html: windows-1251 with confidence 0.9293463334759322
      1 ./books/feyerab/liber/nav.html: windows-1251 with confidence 0.8950165667187255
      1 ./books/feyerab/liber/title.html: windows-1251 with confidence 0.9149616684882178
      1 ./books/feyerab/metod/00.html: windows-1251 with confidence 0.5688120689657832
      1 ./books/feyerab/metod/01.html: windows-1251 with confidence 0.9963772548434602
      1 ./books/feyerab/metod/02.html: windows-1251 with confidence 0.9960131748584433
      1 ./books/feyerab/metod/03.html: windows-1251 with confidence 0.9874047623689456
      1 ./books/feyerab/metod/04.html: windows-1251 with confidence 0.9949114852185257
      1 ./books/feyerab/metod/05.html: windows-1251 with confidence 0.9872345752673617
      1 ./books/feyerab/metod/06.html: windows-1251 with confidence 0.9883170186733351
      1 ./books/feyerab/metod/07.html: windows-1251 with confidence 0.9876998858118606
      1 ./books/feyerab/metod/08.html: MacCyrillic with confidence 0.9962404808344486
      1 ./books/feyerab/metod/09.html: windows-1251 with confidence 0.9921696643420017
      1 ./books/feyerab/metod/10.html: windows-1251 with confidence 0.9902472796020587
      1 ./books/feyerab/metod/11.html: windows-1251 with confidence 0.9876266547497414
      1 ./books/feyerab/metod/12.html: MacCyrillic with confidence 0.981954002926616
      1 ./books/feyerab/metod/13.html: windows-1251 with confidence 0.9755813089456977
      1 ./books/feyerab/metod/14.html: windows-1251 with confidence 0.9877760161380723
      1 ./books/feyerab/metod/15.html: MacCyrillic with confidence 0.9904568916792866
      1 ./books/feyerab/metod/16.html: windows-1251 with confidence 0.9946162241443804
      1 ./books/feyerab/metod/17.html: MacCyrillic with confidence 0.9911535251615038
      1 ./books/feyerab/metod/18.html: MacCyrillic with confidence 0.9878351517624052
